species,ref_height,ini_height,endemism,phenology,form,density,texture,max_height,max_width,year_max,spacing,coverage
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus cephalocarpa,0.000000,1.500000,regional,feb_mar_apr,round,semi-open,medium,20,15,"30",,
Eucalyptus cephalocarpa,0.000000,1.500000,regional,feb_mar_apr,round,semi-open,medium,20,15,"30",,
Eucalyptus cephalocarpa,0.000000,1.500000,regional,feb_mar_apr,round,semi-open,medium,20,15,"30",,
Eucalyptus cephalocarpa,0.000000,1.500000,regional,feb_mar_apr,round,semi-open,medium,20,15,"30",,
Eucalyptus cephalocarpa,0.000000,1.500000,regional,feb_mar_apr,round,semi-open,medium,20,15,"30",,
Eucalyptus cephalocarpa,0.000000,1.500000,regional,feb_mar_apr,round,semi-open,medium,20,15,"30",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Acacia implexa,0.000000,1.500000,regional,jul_aug_sep_oct,pyramidal,open,medium,13,7,"15",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Acacia implexa,0.000000,1.500000,regional,jul_aug_sep_oct,pyramidal,open,medium,13,7,"15",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Corymbia citriodora,0.000000,1.500000,national,jul_aug_sep_oct_nov,round,open,medium,12,6,"10",,
Eucalyptus leucoxylon,0.000000,1.500000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,1.500000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Angophora costata,0.000000,1.500000,regional,oct_nov_dec,round,open,medium,20,12,"20",,
Eucalyptus aggregata,0.000000,1.500000,regional,jan_feb_mar_apr,round,semi-open,medium,15,15,"50",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Eucalyptus aggregata,0.000000,1.500000,regional,jan_feb_mar_apr,round,semi-open,medium,15,15,"50",,
Eucalyptus aggregata,0.000000,1.500000,regional,jan_feb_mar_apr,round,semi-open,medium,15,15,"50",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Eucalyptus mannifera,0.000000,1.500000,regional,jan_mar_apr_may,round,semi-open,medium,15,13,"25",,
Eucalyptus mannifera,0.000000,1.500000,regional,jan_mar_apr_may,round,semi-open,medium,15,13,"25",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Angophora costata,0.000000,1.500000,regional,oct_nov_dec,round,open,medium,20,12,"20",,
Angophora costata,0.000000,1.500000,regional,oct_nov_dec,round,open,medium,20,12,"20",,
Angophora costata,0.000000,1.500000,regional,oct_nov_dec,round,open,medium,20,12,"20",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Ulmus parvifolia,0.000000,2.000000,exotic,,round,closed,medium,13,10,"15",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus mannifera,0.000000,1.500000,regional,jan_mar_apr_may,round,semi-open,medium,15,13,"25",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Acacia implexa,0.000000,1.500000,regional,jul_aug_sep_oct,pyramidal,open,medium,13,7,"15",,
Eucalyptus elata,0.000000,1.500000,regional,jan_sep_oct,round,semi-open,medium,15,15,"20",,
Eucalyptus aggregata,0.000000,1.500000,regional,jan_feb_mar_apr,round,semi-open,medium,15,15,"50",,
Eucalyptus aggregata,0.000000,1.500000,regional,jan_feb_mar_apr,round,semi-open,medium,15,15,"50",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Eucalyptus leucoxylon,0.000000,2.000000,regional,jun_jul_aug_sep_oct_nov_dec,round,semi-open,medium,12,7,"20",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Lagerstroemia fauriei,0.000000,1.500000,exotic,dec_jan_feb,round,semi-open,fine,8,8,"8",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
Lagerstroemia indica,0.000000,1.500000,exotic,jan_feb_mar,round,semi-open,medium,4,3,"15",,
