species,flowering,evergreen,type,form,max_height,max_width,year_max
Acer palmatum,TRUE,FALSE,tree,semi-open,10,10,30
Buxus japonica,FALSE,TRUE,shrub,closed,2.5,1.5,5
Camellia sasanqua,TRUE,TRUE,shrub,closed,4,4,5
Citrus spp,TRUE,TRUE,tree,semi-open,10,6,15
Cordyline fruticosa,TRUE,TRUE,plant,semi-open,4.5,1,15
Cyathea cooperi,FALSE,TRUE,fern,open,10,8,10
Duranta repens,TRUE,TRUE,shrub,closed,2.5,2.5,2
Elaeocarpus reticulatus,TRUE,TRUE,shrub,semi-open,10,8,15
Fatsia japonica,TRUE,TRUE,plant,semi-open,5,5,15
Gardenia augusta,TRUE,TRUE,shrub,closed,2,1.5,4
Hebe spp,TRUE,TRUE,shrub,closed,1.5,1.5,3
Jacaranda mimosifolia,TRUE,TRUE,tree,semi-open,15,10,20
Lagerstroemia indica,TRUE,FALSE,tree,semi-open,6,6,15
Liriope muscari,TRUE,TRUE,plant,open,0.5,0.5,2
Loropetalum chinense,TRUE,TRUE,shrub,closed,2,1.5,3
Magnolia liliiflora,TRUE,FALSE,tree,open,4,4,12
Murraya paniculata,TRUE,TRUE,shrub,closed,1,1,4
Nandina domestica,TRUE,TRUE,shrub,closed,3,2,10
Phormium tenax,TRUE,TRUE,plant,open,3,2,3
Plumeria acutifolia,TRUE,TRUE,tree,open,6,5,30
Robinia pseudoacacia,TRUE,FALSE,tree,semi-open,15,10,30
Syzygium cascade,TRUE,TRUE,shrub,closed,3,2,2
