species,ref_height,ini_height,endemism,phenology,form,density,texture,max_height,max_width,year_max,spacing,coverage
Patersonia occidentalis B,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","6","40"
Patersonia occidentalis B,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","6","40"
Patersonia occidentalis B,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","6","40"
Patersonia occidentalis B,0.000000,0.300000,national,oct_nov_dec_jan,vase,semi-open,coarse,0.6,0.5,"3","6","40"
Darwinia citriodora,0.000000,0.225000,national,jul_aug_sep_oct_nov_dec,mounding,closed,fine,0.45,0.8,"2","2","20"
Darwinia citriodora,0.000000,0.225000,national,jul_aug_sep_oct_nov_dec,mounding,closed,fine,0.45,0.8,"2","2","20"
Darwinia citriodora,0.000000,0.225000,national,jul_aug_sep_oct_nov_dec,mounding,closed,fine,0.45,0.8,"2","2","20"
Darwinia citriodora,0.000000,0.225000,national,jul_aug_sep_oct_nov_dec,mounding,closed,fine,0.45,0.8,"2","2","20"
Brachyscome multifida,0.000000,0.100000,regional,jan_feb_sep_oct_nov_dec,mounding,closed,fine,0.2,0.6,"2","4","40"
Brachyscome multifida,0.000000,0.100000,regional,jan_feb_sep_oct_nov_dec,mounding,closed,fine,0.2,0.6,"2","4","40"
Brachyscome multifida,0.000000,0.100000,regional,jan_feb_sep_oct_nov_dec,mounding,closed,fine,0.2,0.6,"2","4","40"
Brachyscome multifida,0.000000,0.100000,regional,jan_feb_sep_oct_nov_dec,mounding,closed,fine,0.2,0.6,"2","4","40"
Lomandra hystrix,0.000000,0.165000,national,oct_nov_dec_jan,vase,semi-open,coarse,1.65,1,"5","3","20"
Lomandra hystrix,0.000000,0.165000,national,oct_nov_dec_jan,vase,semi-open,coarse,1.65,1,"5","3","20"
Lomandra hystrix,0.000000,0.165000,national,oct_nov_dec_jan,vase,semi-open,coarse,1.65,1,"5","3","20"
Lomandra hystrix,0.000000,0.165000,national,oct_nov_dec_jan,vase,semi-open,coarse,1.65,1,"5","3","20"
Lomandra hystrix,0.000000,0.165000,national,oct_nov_dec_jan,vase,semi-open,coarse,1.65,1,"5","3","20"
Lomandra hystrix,0.000000,0.165000,national,oct_nov_dec_jan,vase,semi-open,coarse,1.65,1,"5","3","20"
Hakea nodosa,0.000000,0.200000,regional,apr_may_jun_jul_aug,rounded,semi-open,medium,2,1.5,"4","1","15"
Hakea nodosa,0.000000,0.200000,regional,apr_may_jun_jul_aug,rounded,semi-open,medium,2,1.5,"4","1","15"
