"species","endemism","phenology","form","density","texture","max_height","max_width","year_max"
"Allocasuarina fraseriana","regional","may_june_jul_aug_sep_oct","vase","semi-open","coarse",10,6,15
"Melaleuca lanceolata","national","dec_jan_feb_mar","round","dense","coarse",7,10,10
"Agonis flexuosa","regional","aug_sep_oct_nov_dec","round","dense","medium",10,10,15
"Eucalyptus caesia","regional","may_jun_jul_aug_sep_jan_feb_mar","vase","open","medium",8,4,10
"Acacia rostellifera","regional","jul_aug_sep_oct_nov_dec","round","dense","medium",5,10,10
"Melaleuca glauca","regional","oct_nov_dec_jan_feb","round","dense","medium",3,2,6
"Acacia denticulosa","regional","sep_oct","round","open","medium",4,3,5
"Eucalyptus platypus","regional","sep_oct_nov_dec_jan","round","dense","medium",7,3,7
"Leptospermum erubescens","regional","jul_aug_sep_oct","round","dense","medium",3,4,4
"Eucalyptus forrestiana","regional","jan_feb_mar","round","semi-open","medium",7,4,13
"Callitris preissii","regional",,"vase","dense","coarse",9,6,15
"Acacia lasiocarpa","regional","jun_jul_aug_sep_oct","mounding","dense","medium",1.5,1,3
"Acacia truncata","regional","jul_aug_sep","mounding","dense","coarse",1.5,1.5,7
"Acrotriche cordata","national","jul_aug_sep_oct","mounding","dense","coarse",0.5,2,5
"Atriplex isatidea","regional","mar_apr_may_jun_sep_oct","mounding","dense","medium",2,3,3
"Conostylis candicans","regional","aug_sep_oct_nov_dec_jan_feb","mounding","semi-open","medium",0.4,0.4,4
"Dianella revoluta","national","sep_oct_nov_dec","mounding","dense","medium",1,1.5,5
"Eremophila glabra","regional","mar_apr_may_jun_sep_oct_nov_dec","mounding","open","medium",3,2,3
"Ficinia nodosa","national","aug_sep_oct_nov_dec_jan_feb_mar_apr","mounding","dense","coarse",1,2,2
"Frankenia pauciflora","national","nov_dec_jan_feb_mar","mounding","dense","medium",0.5,2,2
"Grevillea crithmifolia","regional","jun_jul_aug_sep_oct_nov","mounding","dense","coarse",2,3,6
"Hakea lissocarpha","regional","jun_jul_aug_sep","mounding","dense","coarse",1.5,2,8
"Lomandra caespitose","national","jul_aug_sep_oct","mounding","semi-open","coarse",0.4,0.5,3
"Melaleuca huegelii","regional","sep_oct_nov_dec_jan","rounded","dense","medium",5,6,8
"Olearia axillaris","national","jan_feb_mar_apr_may_jun_jul_nov_dec","upright","semi-open","medium",3,2,5
"Scaevola crassifolia","regional","jul_aug_sep_oct_nov_dec_jan_feb","mounding","dense","medium",1.5,1.5,3
"Acacia pulchella","regional","jul_aug_sep","mounding","semi-open","coarse",1.5,2,6
"Acanthocarpus preissii","regional","apr_may","mounding","dense","coarse",1,1.5,5
"Hibbertia hypericoides","regional","apr_may_jun_jul_aug_sep_oct_nov_dec","mounding","dense","medium",1,0.4,5
"Kennedia prostrata","national","apr_may_jun_jul_aug_sep_oct_nov","mounding","semi-open","medium",0.2,4,2
